,Coefficients,P-Values
Software Solution Architecture,609.5110535338521,3.4542697058614464e-07
technical roadmaps,609.5110535338521,3.4542697058614464e-07
Leading Development Teams,609.5110535338521,3.4542697058614464e-07
High Level Design document,609.5110535338521,3.4542697058614464e-07
Internationalization,1367.852040203983,3.764521655981117e-07
Operations Training,1367.852040203983,3.764521655981117e-07
Curating,1367.8520402039833,3.7645216559811366e-07
Data Administration,1367.8520402039833,3.7645216559811366e-07
Cross Functional Relationships,1367.8520402039794,3.7645216559811736e-07
Consumer Products,934.5101321353526,4.2935897051098967e-07
Customer Relations,934.5101321353521,4.293589705109939e-07
Tuning,934.5101321353512,4.2935897051100047e-07
Presales,934.5101321353512,4.2935897051100047e-07
Transportation,934.5101321353512,4.2935897051100047e-07
Open Source,934.5101321353512,4.2935897051100047e-07
Public Transport,934.5101321353512,4.2935897051100047e-07
Assessing,934.5101321353488,4.293589705110174e-07
Passion for Helping Others,-1250.9068343308697,4.454654694090398e-07
SQL Development,-1250.9068343308697,4.454654694090398e-07
Customer Support,-1250.9068343308697,4.454654694090442e-07
Google Cloud,1071.5493024871741,5.932580793313901e-07
mentors team members,1100.826868579648,6.794971320952825e-07
Change Request Management,795.451328180099,7.799646211784378e-07
Mendix,795.451328180098,7.799646211784494e-07
Resource Management,795.451328180098,7.799646211784494e-07
Integration Architecture,795.451328180098,7.799646211784494e-07
Software Implementation,795.451328180098,7.799646211784494e-07
Service Planning and Implementation,795.451328180098,7.799646211784494e-07
Data Integration,-864.3094318053461,8.194299143906605e-07
Manual Testing,-1142.8948697265985,9.264162419965377e-07
Product Design,1190.672530569442,9.44127588116072e-07
Publications,896.0419102561052,1.1595383141596453e-06
relationships with internal stakeholders,646.6717019377678,1.1741490585277883e-06
.NET Core,-1284.9595332987574,1.4333732914852153e-06
Quality Management,1051.393866902214,1.4350657368980663e-06
Animation,348.1579703939397,1.4517134526147364e-06
Anthropology,348.1579703939349,1.4517134526151262e-06
Communication Design,348.1579703939337,1.4517134526152518e-06
Innovator,348.1579703939327,1.4517134526153005e-06
Exhibitions,348.1579703939327,1.4517134526153005e-06
Ecology,348.1579703939327,1.4517134526153005e-06
Educational Games,348.1579703939327,1.4517134526153005e-06
Player profiling,348.1579703939327,1.4517134526153005e-06
Transdisciplinary Thinking,348.1579703939327,1.4517134526153005e-06
recruiting professionals,348.1579703939327,1.4517134526153005e-06
Media Outreach,348.1579703939327,1.4517134526153005e-06
Curriculum Development,348.157970393932,1.4517134526153844e-06
Performance Testing,-1244.7893914416634,1.530196611202078e-06
Version Control,-2536.4290238608473,1.6648803999079707e-06
Cross-functional Team Leadership,1249.7369647894761,1.8685533699872043e-06
COTS packages,868.1237285929343,1.952480155705528e-06
DDP,868.1237285929323,1.952480155705538e-06
Probability,868.1237285929319,1.952480155705565e-06
Parallel Algorithms,868.1237285929319,1.952480155705565e-06
Logical Reasoning,868.1237285929319,1.952480155705565e-06
Financial Services,933.7033139000735,2.7281757667592765e-06
Teamwork,-1304.7257161406008,3.1481979513347348e-06
Accounting,1361.4251550075053,4.252954198177612e-06
Business Affairs,791.4402407416675,4.925818635592479e-06
Privacy,791.4402407416674,4.925818635592568e-06
Senior Executive Leadership,791.4402407416674,4.925818635592568e-06
Security Risk,791.4402407416674,4.925818635592568e-06
Software Product Management,791.4402407416674,4.925818635592568e-06
Collaborating With Product Managers,795.3538464070613,4.9263579648381666e-06
Planning,1253.5963418351685,5.649188756642102e-06
Test Execution,-860.4626248607193,6.5145055656654365e-06
Appium,-860.4626248607194,6.5145055656654365e-06
Product Management,1465.5352135472865,7.483921568682146e-06
technical studies,1761.2688925815569,9.729302629362677e-06
UAT,-975.856056544655,1.0056950920131827e-05
Solution Architecture,1749.819159565651,1.1424502421326105e-05
Logistics,-1110.403734295766,1.1491081879804288e-05
SAP Project Management,-1110.403734295766,1.1491081879804288e-05
Finance,-1110.403734295766,1.1491081879804288e-05
Product Launch,860.910554605778,1.2279626459626487e-05
Financial Systems,1230.0585633220512,1.2585178187880335e-05
Test Development,-1417.8252676986679,1.272737566157834e-05
Application Architecture,1101.791718326217,1.4047358054284131e-05
People Management,1252.734931757785,1.9992855084669403e-05
Content Management,944.2328281512085,2.171471793266281e-05
Deployment,-1486.8852265596488,2.2661191010000685e-05
Best Practices,-610.0884164290902,2.4653615958961573e-05
Solutioning,-610.0884164290899,2.465361595896177e-05
hands-on skills,-610.0884164290899,2.465361595896177e-05
DITA,-610.0884164290898,2.465361595896198e-05
Translating,-947.0179317694113,2.5299538141902215e-05
Project Planning,-1227.6487391537137,2.899389393174571e-05
Leadership,1248.0201573815602,3.5693788679711666e-05
Flutter,-1681.4121092883843,4.099205109596045e-05
Server Upgrades,-688.2987037901696,4.512041581802521e-05
Ticketing Systems,-688.2987037901696,4.512041581802521e-05
Front-end Design,573.4010663943986,5.026492942105015e-05
source code maintenance,573.4010663943986,5.026492942105015e-05
Proposal Writing,-1195.261984497543,5.431245558488596e-05
Adobe Analytics,762.1966023551804,5.5149111682093874e-05
GraphQL,762.196602355179,5.5149111682094464e-05
Google Analytics,762.1966023551787,5.51491116820952e-05
Statistics,995.7785537542701,6.487487851236786e-05
Android,-938.851728888464,6.49452786667219e-05
C#,-1483.8048475344096,7.848133086497728e-05
Application Support,-1059.375474032565,8.628843221479948e-05
AJAX,-597.7741269343506,8.6733706280521e-05
IIS,-597.7741269343501,8.673370628052216e-05
Layout,-597.7741269343501,8.673370628052216e-05
Business Requirements,-1078.8442387903158,0.00012100254386125286
Publishing,787.4907729045709,0.0001237398919455729
Cross Functional Team Building,645.3647099511893,0.0001260484343126985
UAT testing,-872.430341141358,0.00015630216873506198
Vendor Management,-1054.0778890806744,0.00016984774460581038
Automation Testing,-625.6498930099574,0.00018856387529614686
Selenium,-625.649893009957,0.0001885638752961469
Construction,982.2727705523051,0.00019016227748419324
PMO,-709.480847548948,0.00019141243724973386
Partner Management,-709.480847548948,0.00019141243724973386
Resourcing,-709.480847548948,0.00019141243724973386
Capital Markets,-674.5374142403332,0.000222482819257847
Online Travel,-674.5374142403318,0.00022248281925785259
Teamwork Skills,-550.3289366312086,0.00023291316519437146
Web Applications,-1312.664047955355,0.00023375141849204994
RedHat,-1901.7657244293744,0.00024163113491888183
Pipelines,1470.802508769005,0.0002503443189132216
Investigation,-960.4969177571245,0.0002875833018725463
Collaboration,1175.411748777112,0.00029167348551125164
Innovative Thinking,596.0612123329802,0.00030148007830875696
System Architecture,1210.4349961198122,0.0003040331546906502
Commissioning,-835.3362274901243,0.00031243900085920195
Banking,-1158.4031981440542,0.000318010041069185
Software Consulting,763.1805766050732,0.00034081494970906117
React.js,1522.212177067301,0.0003480101398457525
Unit Testing,1431.2975832026839,0.0003515524071336869
Team Motivation,1390.8058356891268,0.0003770470536276854
developed software systems,690.3789936698608,0.00038070391575828683
Cloud Services,-1381.3026916369004,0.00040722805037103973
Emerging Trends,-1106.857025272626,0.00047372903559376236
Marketing,-568.1402691457137,0.000479016245919046
Responsive Web Design,767.9996715489684,0.000493367904889718
Curriculum Planning,-384.887629459337,0.0004973717542587633
Student Development,-384.8876294593365,0.0004973717542587692
Administration,-384.8876294593362,0.0004973717542587716
Front Office,-384.88762945933513,0.000497371754258789
Rail,-384.88762945933513,0.000497371754258789
Teaching,-384.88762945933513,0.000497371754258789
Thai Language,696.4096372445383,0.0005616833964867542
Analytical Troubleshooting,-866.3967628548229,0.0005808639451903844
Engineering Management,-866.3967628548237,0.0005808639451903886
Triage,-866.3967628548237,0.0005808639451903886
KYC,617.9160136193594,0.0005845021078065947
client management software,617.9160136193594,0.0005845021078065947
Windows Azure platform,617.9160136193594,0.0005845021078065947
Onboarding,617.9160136193594,0.0005845021078065947
Database Design,-633.6858008000544,0.000599060279303505
Customer Experience,-633.685800800054,0.0005990602793035117
Vehicle Routing,-633.6858008000543,0.0005990602793035134
Web Application Design,-633.6858008000543,0.0005990602793035134
XHTML,-633.6858008000543,0.0005990602793035134
SPC,474.74432660074586,0.0006432188477537577
Motion Control,474.74432660074586,0.0006432188477537577
Quality and Performance,474.74432660074586,0.0006432188477537577
Diffusion,474.74432660074586,0.0006432188477537577
Wafer Fabrication,474.74432660074586,0.0006432188477537577
DCS,474.74432660074547,0.0006432188477537635
Protocol,3516.195152465611,0.0006855045837612485
AML,909.9388569379258,0.0006891422713393018
Know Your Client - KYC,909.9388569379275,0.0006891422713393096
NodeJS,-1468.501598008392,0.0007030233792275846
API,932.1542635533303,0.0007100628927885204
Lead Generation,-467.5698368959425,0.0007137740447245741
Sales Process,-467.5698368959425,0.0007137740447245741
B2B,-467.5698368959413,0.0007137740447245954
Cloud Security,1212.0757104671272,0.0007173434669595378
Customer Conversion,486.4483661509793,0.0007494592441354229
Powerhouse,486.4483661509792,0.0007494592441354282
Unicorn,486.4483661509792,0.0007494592441354282
Tapestry,486.4483661509792,0.0007494592441354282
Nginx,486.4483661509792,0.0007494592441354282
trade show participation,375.1396652426348,0.0007683440390366538
Parallel Programming,375.1396652426348,0.0007683440390366538
Patterns,375.1396652426348,0.0007683440390366538
Technical Management,375.1396652426348,0.0007683440390366538
Territory Account Management,375.1396652426348,0.0007683440390366538
Infrastructure,375.1396652426348,0.0007683440390366538
Presentation,375.13966524263424,0.0007683440390366628
Applications,375.1396652426335,0.000768344039036682
Documentation Skills,551.3365604914227,0.000780304091370489
Health Insurance,549.6225026760144,0.0007839138471446193
define Roles,854.9081000238342,0.0009064967867650234
Cv Writing,316.3473450017721,0.0009320416946520511
Low Volume,316.34734500177046,0.0009320416946521056
Operations Production,316.34734500177046,0.0009320416946521056
ensure sponsorship,316.34734500177046,0.0009320416946521056
Service Delivery,316.34734500177046,0.0009320416946521056
Standards Compliance,316.34734500177046,0.0009320416946521056
IFS,316.34734500177046,0.0009320416946521056
Excel,-1156.4619702998627,0.000998998658725379
IT Service Operations,672.4103048307746,0.0010238927805594233
ASPNet,1192.5422117649396,0.0010789721818205852
Customer Satisfaction,811.8187136345304,0.0011305719465087417
MySQL,-1152.8749722110922,0.0012167153902757513
Enterprise Architecture,771.7076093742506,0.0012285776158033755
Gradle,812.1068014550117,0.0012470087860352852
State Government,687.3570483078097,0.0014975678284833516
Global Service Delivery,687.3570483078097,0.0014975678284833516
jQuery,-791.7060442070268,0.0015161008886778187
launch plans,1352.7554627727038,0.0016050405110436348
Able To Work Independently,-780.4796091260484,0.0016606171772233923
company performance,-559.4150722861414,0.0016772393246978572
Team Foundation Server,-559.4150722861414,0.0016772393246978572
Infrastructure Support,-559.4150722861414,0.0016772393246978572
Intelligent Agents,606.5252139899833,0.001681171330104641
Technical and Engineering Fundamentals,606.5252139899833,0.001681171330104641
Security Research,606.5252139899833,0.001681171330104641
Distributed Systems,964.8406749385874,0.001722340636109045
Delivery Management,-751.2080018536312,0.001733964063698778
Automation of reports,-605.0344794971791,0.0018026873220344042
Content Creation,-605.0344794971768,0.0018026873220344042
Database Scripting,-605.0344794971759,0.0018026873220344582
ECC,273.82249170899775,0.001822308290161337
OData,273.82249170899775,0.001822308290161337
WebDynpro,273.82249170899775,0.001822308290161337
IDOC,273.82249170899775,0.001822308290161337
Budget,364.0368185944038,0.001874264779154554
Technical Product Development,364.03681859440286,0.0018742647791546178
Engineering,364.03681859440286,0.0018742647791546178
Risk Management Administration,364.03681859440286,0.0018742647791546178
TPM,364.03681859440286,0.0018742647791546178
Visual Studio,-578.8593516078944,0.0018784525197605227
Autonomous Vehicles,489.2032210970116,0.0019655436419348856
real-time applications,489.2032210970112,0.001965543641934911
Simulation,489.2032210970112,0.001965543641934911
planning studies,489.2032210970112,0.001965543641934911
Web Security,-845.9785271180324,0.0020120087217801734
distributed web applications,-780.4736496922621,0.0021459151648821786
WebSockets,-780.4736496922621,0.0021459151648821786
Financial Transactions,-929.4768417068161,0.002165442694886092
Data Engineering,-837.2762332495414,0.0021675435959867565
Kanban,743.9940376231875,0.002262199298695164
Telerik,-605.2680880104356,0.0023323418861727362
Certified Scrum Master,-605.2680880104333,0.0023323418861728048
timely delivery,-566.2227025085583,0.00245615726920736
Security Architecture Design,-848.8691815941659,0.0024721385965234635
Technology Scanning,-848.8691815941659,0.0024721385965234635
Hibernate,-910.4469556536411,0.002474691025912982
C Programming,-696.7926301725763,0.002489514442508781
Professional Experience,905.000285132689,0.002756545960949961
Big Data,541.2303128038436,0.0028609190312740866
Accountability,-967.5747038939724,0.0029721190866557243
Crystal Reports,-355.97672110522706,0.002986295981395121
Quartz Crystal Microbalance,-355.9767211052266,0.002986295981395121
Spring Batch,-355.9767211052266,0.002986295981395121
Java Enterprise Edition,-355.9767211052266,0.002986295981395121
Identity Management System,-355.9767211052266,0.002986295981395121
Log Analysis,-355.9767211052266,0.002986295981395121
Enterprise Programme,-355.9767211052266,0.002986295981395121
Biometrics,-355.9767211052253,0.0029862959813952176
Agile Scrum,770.2088635193556,0.003091333614298217
3D,638.1245231880334,0.0031330641084416143
Customer Service,888.6143293998864,0.003388036510630056
FastAPI,1208.2191540203569,0.0034507339692732885
Relational Databases,917.2758796317182,0.003651028330301674
desktop application,-358.5729787753267,0.0036933618544806577
Sound Engineering,-358.5729787753267,0.0036933618544806577
Process Definition,-358.5729787753267,0.0036933618544806577
Development of Desktop applications,-358.5729787753267,0.0036933618544806577
computing solutions,-358.5729787753267,0.0036933618544806577
coordinating releases,-358.5729787753267,0.0036933618544806577
Operations & Services,-358.5729787753267,0.0036933618544806577
Building Efficiency,-358.5729787753252,0.003693361854480785
Django web framework,710.437166187141,0.0037722464847797905
Search Engine Technology,710.437166187141,0.0037722464847797905
Android Studio,-691.3542945931868,0.003996535977524074
Equipment Maintenance,-315.24517945003134,0.004260763058134283
Problem Identification,-315.24517945003134,0.004260763058134283
Factory Acceptance Testing,-315.24517945003134,0.004260763058134283
Technology Integration,-315.24517945003134,0.004260763058134283
Written and Verbal Communication Abilities,-315.24517945003134,0.004260763058134283
Electrical Design,-315.24517945003134,0.004260763058134283
Data Entry,-315.2451794500309,0.004260763058134342
Project Delivery Management,571.2410760124329,0.004285441120085032
Time Management,490.8615813766509,0.004305534710374345
Scripting,780.090807074583,0.004344289031472504
Risk Management,-716.0607822737484,0.004355136132124123
Research Design,832.1779445944036,0.004412278581433842
DevOps,909.6716863515104,0.0045999658013348215
Career Development,-1092.1183775867735,0.004619431886338142
Enforcement,-732.9280515175816,0.004688464746126982
Avid,422.316658876466,0.004858559390739286
Applied Mathematics,422.31665887646506,0.0048585593907393455
Compression,422.3166588764643,0.004858559390739441
Embedded Systems,-830.2315474877587,0.005214134334718333
meeting project deadlines,-500.49773759876314,0.005455502063347637
Lead implementation,-500.49773759876314,0.005455502063347637
Logging,785.8446961313637,0.005557835056830721
Vue.js,-1084.5834370416615,0.0058138865430905785
Aesthetics,496.8395518268521,0.0059032604421522744
WordPress,496.8395518268506,0.005903260442152355
User Experience,890.5716290965123,0.0059595236639649355
API Development,848.1369166740046,0.006323362004381692
High Availability,1072.9162082785945,0.006787816160511586
JavaScript,-1081.749101559304,0.006808442879313015
Java,595.8552445083175,0.006872611779166645
engagement with external partners,619.6260555343645,0.0069019186787761585
Live Action,619.6260555343645,0.0069019186787761585
Motor Drives,619.6260555343645,0.0069019186787761585
Agile Software Development,659.3089636980766,0.00697153420635891
SSL,543.4567851991225,0.007096383016945389
User Interface,622.1314236410599,0.007097168960758348
Client Management,-217.62949155959578,0.0073754098330617935
workaround solutions,-217.6294915595947,0.0073754098330620285
Project Management Tools,-217.6294915595945,0.007375409833062076
project road maps,-217.6294915595945,0.007375409833062076
point of contact for clients,-217.6294915595945,0.007375409833062076
Web Project Management,-217.6294915595945,0.007375409833062076
liaison with design teams,-217.6294915595945,0.007375409833062076
Component Based Development,-772.9444891953161,0.007445249235233359
Microsoft Technologies,-356.1939941012563,0.007734728483199656
Sprint methodology,-356.19399410125624,0.0077347284831996745
Project Lifecycle Management,-356.19399410125624,0.0077347284831996745
Public Cloud,-356.19399410125624,0.0077347284831996745
VB.NET,-356.19399410125624,0.0077347284831996745
LINQ,-356.19399410125624,0.0077347284831996745
ASP.NET MVC,-356.1939941012538,0.007734728483200057
NoSQL,1067.6823896935139,0.007860891892769886
Application Performance Management,923.6036626999241,0.007930590672771062
leading technical teams,925.0661362660744,0.007954611696565195
Microservices,1085.0495314615328,0.00805178426152984
Customerfacing,480.62530320110005,0.00830698863905411
ServiceNow,-1288.6432202303831,0.008344241156852401
Compliance,315.7873002807157,0.008927270293753986
Geospatial Intelligence,315.7873002807152,0.008927270293754074
process narratives,315.7873002807152,0.008927270293754074
Consulting Engineering,315.7873002807151,0.008927270293754074
web builds,315.7873002807152,0.008927270293754074
Data Center,386.8523671242974,0.00896926965377867
IT knowledge,1001.6025197537746,0.00913079038412803
Efficiency Improvement,551.9698394155697,0.009488814958884378
Test Reporting,340.8638969810305,0.009751032763746056
Test Planning,340.8638969810305,0.009751032763746056
Vendor Development,340.8638969810305,0.009751032763746056
Organisational Strategy Formulation,340.8638969810305,0.009751032763746056
Product Testing Management,340.8638969810305,0.009751032763746056
Acceptance Testing,340.86389698103307,0.009751032763746116
Advisement,340.8638969810298,0.00975103276374617
Software Requirement Specification,-551.1571281052428,0.010047767673634052
system requirements specification,-551.1571281052428,0.010047767673634052
Computer Programming,-551.1571281052427,0.01004776767363409
Gitflow,-603.7124944991454,0.010067659257174476
JDBC,614.5437743122606,0.010289506166589711
Adaptable,583.7364357175028,0.010413160892177429
WinForms,-497.6025525962504,0.010807672234378991
Adaptability,-892.9844322628238,0.010967894303891286
SaaS,-536.9530217855576,0.011487859487208542
Architect,946.4754036151912,0.011504407276065644
ECS,642.1634831595425,0.011973207700410651
Programming,-857.971118889692,0.012021486458566535
OWASP,-384.5647564819808,0.012071917317204292
Business Alignment,-384.5647564819804,0.012071917317204379
Programming Languages,744.2153149189833,0.012339981565690366
DBMS,-800.0995100075188,0.013499533784018192
Database Systems,-800.0995100075179,0.013499533784018311
MariaDB,-800.0995100075177,0.013499533784018324
Application Design,-367.4640854132463,0.013769904702792844
Business Process Mapping,-367.4640854132439,0.013769904702793339
relationships with external stakeholders,-367.4640854132433,0.013769904702793507
provision of IT Solutions,-367.4640854132433,0.013769904702793507
Data Science,524.3879354216906,0.01391888618784213
Software Documentation,-1237.0681277858807,0.014590511564260354
producing documentation,-496.3477169172728,0.014681442591564916
IBM iSeries,368.09090320185936,0.01499897442388673
Organizational Behavior,368.09090320185936,0.01499897442388673
Development Tools,368.09090320185936,0.01499897442388673
RPG III,368.09090320185936,0.01499897442388673
Services Solutions,368.09090320185936,0.01499897442388673
GIS projects,368.09090320185936,0.01499897442388673
relationships with potential candidates,368.09090320185936,0.01499897442388673
Query Optimization,-699.5772427285804,0.015178433559310252
Change Control Management,331.39115790457004,0.015259634461169725
Finance Industry,331.39115790456896,0.015259634461170027
regulatory standards,331.39115790456896,0.015259634461170027
Post Production,331.39115790456896,0.015259634461170027
Enterprise Architect,401.5433445518517,0.015529599729138786
guiding team members,401.5433445518517,0.015529599729138786
Architectural Project Management,401.54334455183664,0.015529599729145187
Fault Analysis,503.9076899043621,0.015876879898254998
Release Engineering,503.9076899043621,0.015876879898254998
user friendly tools,503.9076899043621,0.015876879898254998
Build Automation,503.9076899043611,0.01587687989825527
Computer Proficiency,503.9076899043605,0.015876879898255356
Continuous Integration and Continuous Deployment,613.4816439688767,0.015934808155274045
RESTful API,-1081.8233631001322,0.016523653379355727
Systems Integration,-609.0614295476739,0.017197817986198467
XML,523.9654771848653,0.017546906520636795
SignalR,-586.6295457829775,0.017847879555274275
Design-Build,-512.5781473247841,0.01822922336793777
Graduate Recruitment,-541.6362891801465,0.01906264674913653
Microsoft ASP development,-541.6362891801465,0.01906264674913653
Stored Procedures,-541.6362891801465,0.01906264674913653
Research and Development,-711.1085347224065,0.01921238630645446
Electronics,620.54346785713,0.019751413071669055
QA Engineering,541.4087445060401,0.019814970743723258
Computing,518.1567528967682,0.020746997789974707
React Native,-831.2616085203939,0.020995222938537714
Application Deployment,1071.8096076734746,0.021287638310721335
Technical Communication,434.6444278922161,0.021435901494253413
Cell,-307.5523486936697,0.02185377626297686
Medicine,-307.55234869366984,0.021853776262976937
Life Sciences,-307.55234869366984,0.021853776262976937
Ophthalmology,-307.55234869366984,0.021853776262976937
medical field,-307.5523486936695,0.02185377626297706
Clinical Decision Support,-307.5523486936695,0.021853776262977135
Production Support,933.3951803538914,0.02191893503398951
Develop reusable code,1251.1743324383133,0.021960258342331344
gRPC,-704.7446211974856,0.022026565833269715
Technical Architecture,-584.5494339159635,0.02224437340436847
UI,880.306693747961,0.02330585929985812
Agile Methodologies,543.7071929681999,0.023491359799978444
develop the GUI,-343.89945887643086,0.023649264078642613
Develop software,-343.89945887643086,0.023649264078642613
Windows Embedded,-343.89945887643086,0.023649264078642613
Arm Cortexm,-343.8994588764298,0.023649264078642984
WCF,687.0062664056566,0.02387081613296563
Aspnet MVC,687.0062664056535,0.023870816132966155
Core Banking,-391.093942733922,0.02446854473309828
Experience Design,-391.0939427339213,0.0244685447330984
Splunk,-391.0939427339213,0.0244685447330984
Oracle Enterprise Linux,-391.0939427339213,0.0244685447330984
IBM WebSphere MQ,-391.0939427339213,0.0244685447330984
Written Communication,-584.2591170653421,0.02469569792127926
Architecture Design,527.3887358351377,0.024876421935443784
UX,567.1373141327467,0.025117977899249903
Test-Driven Development,-909.8851181016096,0.025167693366102036
Catering,-222.57838706449448,0.02557848611498988
International Trade,-222.5783870644937,0.025578486114990376
Internal Communications,-222.5783870644937,0.025578486114990376
Credit Cards,-222.57838706449292,0.025578486114990712
Quality Control,-443.9651313649003,0.025669526264637425
Peer Review,365.17411402810575,0.02650073914662216
Technology Development,365.17411402810575,0.02650073914662216
iOS Development,365.17411402810575,0.02650073914662216
Tooling,447.39327632435834,0.027900565050782068
Front End HTML,447.39327632435834,0.027900565050782068
Web accessibility,447.39327632435834,0.027900565050782068
Data Architecture,-254.22101537625767,0.028116052925845687
Apache Hadoop,-254.22101537625701,0.028116052925845715
Security Assessment and Testing,-254.2210153762566,0.028116052925846093
Storage Solutions,-254.2210153762566,0.028116052925846093
Dealing with diversity,-254.22101537625628,0.02811605292584627
Data Management Services,-296.7982571143572,0.02854133841028964
Informatica,-296.79825711435706,0.028541338410289715
Data Warehouse Architecture,-296.798257114357,0.028541338410289753
Installation Guides,-296.7982571143567,0.028541338410289913
Denodo,-296.79825711435655,0.028541338410290006
Firmware,539.9819351728017,0.028541442661972012
Engineering Safety and Security Standards,592.790689719733,0.029432507461325152
Resource Allocation,592.790689719733,0.029432507461325152
Continuous Improvement,660.591677530632,0.029967128150009143
Artificial Intelligence,596.7290771863097,0.0311169910301021
Technology Architecture,802.4005670050709,0.03158562449876323
Embedded Linux,491.17192111552805,0.0321024538683653
SAP ABAP Workflow,179.10256559192453,0.03300238325279413
Reports,179.10256559192453,0.03300238325279413
Adobe forms,179.10256559192405,0.03300238325279454
Core Network,271.4978885856171,0.03460017022656641
Trading System,271.49788858561686,0.03460017022656649
Throughput,271.49788858561686,0.03460017022656649
Mandarin,271.49788858561686,0.03460017022656649
high level languages,271.49788858561686,0.03460017022656649
Protocol Management,271.4978885856164,0.03460017022656681
Clearing,271.497888585616,0.034600170226566904
GUI,-637.7392876641553,0.03481390066044776
Microsoft Excel,-525.1435789507326,0.03519396532598081
